"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R16,R17,R12,R18,R7,R19,R11,R4,R5";"R_0603_1608Metric_Bottom";9;"1K";;;
2;"R13,R2,R24,R20,R15,R10";"R_0603_1608Metric";6;"1K";;;
3;"H5,H4,H3,H2,H1";"MountingHole_3.2mm_M3";5;"M3 MountingHole";;;
4;"C10,C4";"CP_Radial_D8.0mm_P5.00mm";2;"220uF";;;
5;"C9,C7,C2,C5,C1";"C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";5;"220nF";;;
6;"C8,C6";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";2;"220uF";;;
7;"C3";"C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"22nF";;;
8;"J10,J4";"RJ11";2;"RJ10";;;
9;"R3,R9,R36,R35,R34,R32,R31,R30,R28,R27,R26,R22,R29,R23,R21";"Relay_230V";15;"RT314730";;;
10;"U1";"DIP-28_W7.62mm";1;"MCP23017_SP";;;
11;"R8,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"470";;;
12;"D6";"LED_Radial_D6.3mm_P2.50mm_Jurgen";1;"LED Green";;;
13;"D1";"LED_Radial_D6.3mm_P2.50mm_Jurgen";1;"LED Red";;;
14;"JP1,JP3,JP2";"Connector_1x3_Normal";3;"Jumper_NC_Dual";;;
15;"U2";"Converter_DCDC_muRata_OKI-78SR_Horizontal";1;"OKI-78SR-5_1.5-W36H-C";;;
16;"J1";"TerminalBlock_bornier-2_P5.08mm_jurgen";1;"Vin12V";;;
17;"J9,J8,J7,J6,J3,J2,J5";"Connector_1x6_ZigZag";7;"Screw_Terminal_01x06";;;
18;"R33,R14,R25,R6";"Relay_SPDT_Omron_G5V-1";4;"G5V-1";;;
19;"D21,D10,D20,D4";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4007";;;
